,dataset,horizon,shaping_process,shaping_window,model,metric,value
2,ETTh1,336,identity,N/A,TiDE,rmse,0.3259144955830452
2,ETTh1,336,prollcov,501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,prollcorr,751,TiDE,rmse,0.3259144955830452
2,ETTh1,336,prollcorr,1251,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pfarm,1251,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pfarm,1501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,prollcorr,1501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pentropy,1001,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pentropy,501,TiDE,rmse,0.3259144955830452
2,ETTh1,336,prollcorr,1001,TiDE,rmse,0.3259144955830452
2,ETTh1,336,pfarm,501,TiDE,rmse,0.3259144955830452
2,ETTh1,720,ipmutual_info,1501,TSMixerx,rmse,0.325860613773399
2,ETTh1,336,prollcorr,751,DeepNPTS,rmse,0.3258481650510443
2,ETTh1,336,pentropy,751,DeepNPTS,rmse,0.3256179778073356
2,ETTh1,720,prollcov,1501,TFT,rmse,0.325587491015448
2,ETTh1,720,pmutual_info,751,TSMixerx,rmse,0.3255798284996021
2,ETTh1,192,iprollcorr,501,NHITS,rmse,0.3255198860439248
2,ETTh1,336,prollcov,1001,DeepNPTS,rmse,0.3254947389576355
2,ETTh1,336,prollcorr,1001,BiTCN,rmse,0.32549345756572
1,ETTh1,720,pfarm,1251,BiTCN,mae,0.3254235460020669
2,ETTh1,336,iprollcov,501,DeepNPTS,rmse,0.3253945194012952
2,ETTh1,720,pentropy,501,TSMixerx,rmse,0.325354514912873
2,ETTh1,336,iprollcov,1001,DeepNPTS,rmse,0.3253404177900498
2,ETTh1,720,iprollcorr,1501,TFT,rmse,0.3251278716602331
